ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
173130602,12/31/2017,566,"MARIJUANA, POSSESSION",678,MISCELLANEOUS PENAL LAW,PL 2210500,V,Q,105,0,25-44,M,BLACK,1063056,207463,40.7357718,-73.71563826
173114463,12/31/2017,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,Q,114,0,25-44,M,ASIAN / PACIFIC ISLANDER,1009113,219613,40.7694366,-73.91024071
173113513,12/31/2017,849,"NY STATE LAWS,UNCLASSIFIED VIOLATION",677,OTHER STATE LAWS,LOC000000V,V,K,73,1,18-24,M,BLACK,1010719,186857,40.6795247,-73.90457154
173113423,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,18,0,25-44,M,WHITE,987831,217446,40.76352298,-73.98707442
173113421,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,18,0,45-64,M,BLACK,987073,216078,40.75976844,-73.9898113
173130583,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1601001,F,K,73,0,18-24,M,BLACK,1007524,188555,40.6841943,-73.91608475
173129349,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,9,0,18-24,F,WHITE HISPANIC,990592,202391,40.7221992,-73.9771217
173128438,12/31/2017,511,"CONTROLLED SUBSTANCE, POSSESSION 7",235,DANGEROUS DRUGS,PL 2200300,M,M,25,0,25-44,M,BLACK,999724,230625,40.79968302,-73.94411163
173128437,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,23,2,25-44,M,BLACK HISPANIC,998165,226184,40.78749627,-73.94975171
173128433,12/31/2017,705,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,PL 1702000,M,M,17,0,18-24,M,WHITE,991195,212559,40.75010741,-73.97493579
173128430,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200002,M,K,83,0,25-44,M,WHITE HISPANIC,1003807,195345,40.70284027,-73.92946704
173128428,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,K,61,0,65+,F,WHITE,997477,154359,40.5903543,-73.95237721
173126364,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200501,F,K,60,0,<18,F,BLACK,986771,148698,40.57482548,-73.99092661
173124321,12/31/2017,500,"CONTROLLED SUBSTANCE,POSSESS. 1",117,DANGEROUS DRUGS,PL 2202101,F,Q,105,0,18-24,F,WHITE,1050931,202071,40.72107185,-73.75944324
173123525,12/31/2017,779,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,67,0,18-24,M,BLACK,999189,174694,40.64616693,-73.94616811
173119690,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,28,0,45-64,F,BLACK,998007,230362,40.798964,-73.95031372
173119058,12/31/2017,782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,S,121,0,18-24,M,WHITE HISPANIC,946312,169425,40.631636,-74.13668294
173117305,12/31/2017,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,PL 2402500,M,Q,104,0,18-24,M,BLACK,1013787,195967,40.70451983,-73.8934704
173116160,12/31/2017,904,"INTOXICATED DRIVING,ALCOHOL",119,INTOXICATED/IMPAIRED DRIVING,VTL11920E2,F,Q,115,0,25-44,M,WHITE HISPANIC,1019944,214785,40.75614789,-73.87116417
173113522,12/31/2017,782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,M,23,0,18-24,M,BLACK,1001666,229217,40.79581483,-73.93710106
173116157,12/31/2017,511,"CONTROLLED SUBSTANCE, POSSESSION 7",235,DANGEROUS DRUGS,PL 2200300,M,Q,104,0,45-64,M,WHITE,1013701,195936,40.70443503,-73.89378071
173124318,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,7,0,45-64,F,WHITE,988049,200071,40.71583282,-73.98629728
173116159,12/31/2017,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,100,0,45-64,F,BLACK,1038797,153050,40.58660339,-73.80361413
173129128,12/31/2017,259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450001,M,M,18,0,25-44,M,BLACK HISPANIC,986034,216056,40.75970833,-73.99356177
173128431,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,M,34,0,25-44,M,WHITE HISPANIC,1006797,253850,40.86341374,-73.91848695
173127729,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200502,F,Q,106,0,25-44,F,WHITE HISPANIC,1038101,181874,40.66572329,-73.80589
173127002,12/31/2017,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,M,23,0,45-64,M,BLACK,1000700,227655,40.79152941,-73.94059374
173123528,12/31/2017,439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,GRAND LARCENY,PL 1553001,F,M,14,0,25-44,M,WHITE HISPANIC,987220,212676,40.75043077,-73.98928218
173121851,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,52,0,25-44,M,WHITE HISPANIC,1014313,254123,40.86414065,-73.89131304
173121081,12/31/2017,439,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109,GRAND LARCENY,PL 1553004,F,K,90,0,25-44,M,BLACK,998016,196598,40.70629037,-73.95035033
173120429,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,Q,106,0,45-64,M,BLACK,1033414,188276,40.68332258,-73.82273803
173120428,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,Q,103,0,45-64,M,BLACK,1045673,199466,40.71395985,-73.77843567
173120427,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,17,0,25-44,M,BLACK,992033,214074,40.754265,-73.97190956
173120424,12/31/2017,503,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117,DANGEROUS DRUGS,PL 2201601,F,M,6,0,25-44,M,BLACK,984037,205508,40.73075688,-74.00076998
173120423,12/31/2017,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201500,M,K,67,0,45-64,M,BLACK,1003257,177086,40.65272465,-73.93150216
173119700,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,Q,103,0,25-44,M,BLACK HISPANIC,1041879,197084,40.70744736,-73.79214177
173117783,12/31/2017,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 121110A,M,B,44,0,25-44,M,WHITE HISPANIC,1008274,245226,40.83973953,-73.91317803
173116543,12/31/2017,244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,Q,106,0,<18,M,WHITE HISPANIC,1026310,186741,40.67914596,-73.8483614
173116539,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,105,0,25-44,F,WHITE HISPANIC,1057302,184509,40.67281814,-73.73664984
173116274,12/31/2017,244,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107,BURGLARY,PL 1402000,F,Q,106,0,<18,M,WHITE HISPANIC,1026285,187525,40.68129798,-73.84844664
173116152,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,1,0,25-44,M,BLACK,982383,198038,40.71025333,-74.00673573
173116146,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,47,0,25-44,F,BLACK,1023210,257960,40.87463725,-73.85912496
173115855,12/31/2017,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,104,0,45-64,M,WHITE HISPANIC,1013640,206072,40.7322561,-73.89395647
173113527,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,105,0,25-44,M,BLACK,1054680,205284,40.72986167,-73.7458848
173129120,12/31/2017,750,RESISTING ARREST,359,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2053000,M,B,43,0,25-44,M,WHITE HISPANIC,1017824,238944,40.82246611,-73.87869553
173129122,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,B,43,0,25-44,M,WHITE HISPANIC,1022022,240901,40.82782056,-73.86351678
173129126,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,78,0,45-64,F,BLACK,990287,184429,40.6728979,-73.97823814
173129247,12/31/2017,397,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105,ROBBERY,PL 1600500,F,B,42,2,<18,M,BLACK,1012076,239818,40.82488497,-73.89945994
173113521,12/31/2017,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,M,19,1,25-44,F,WHITE HISPANIC,995369,221138,40.77365029,-73.95985695
173114444,12/31/2017,258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1456002,M,B,40,0,18-24,M,WHITE HISPANIC,1006075,236932,40.81698058,-73.92115225
173114460,12/31/2017,478,"THEFT OF SERVICES, UNCLASSIFIED",343,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,M,24,0,25-44,M,BLACK,992586,227883,40.79216659,-73.96989644
173115841,12/31/2017,258,"CRIMINAL MISCHIEF 4TH, GRAFFITI",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1456002,M,K,66,0,25-44,M,WHITE,990399,164172,40.61729672,-73.97785284
173115846,12/31/2017,567,"MARIJUANA, POSSESSION 4 & 5",235,DANGEROUS DRUGS,PL 2211500,M,K,79,0,25-44,M,BLACK,998034,188480,40.68400831,-73.95030202
173116026,12/31/2017,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 121110A,M,B,46,0,18-24,M,BLACK,1012078,252019,40.85837313,-73.89940208
173116029,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,49,0,25-44,M,WHITE HISPANIC,1021177,247658,40.84637013,-73.86653289
173116030,12/31/2017,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL119202X,M,K,77,0,25-44,M,WHITE HISPANIC,1004127,182891,40.66865618,-73.92834966
173117787,12/31/2017,748,"CONTEMPT,CRIMINAL",359,OFFENSES AGAINST PUBLIC ADMINISTRATION,PL 2155003,M,M,30,0,25-44,M,WHITE HISPANIC,999357,238995,40.82265698,-73.94541834
173119054,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,M,33,0,25-44,M,WHITE HISPANIC,1000478,248304,40.84820551,-73.94134554
173122745,12/31/2017,339,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",341,PETIT LARCENY,PL 1552500,M,M,14,0,25-44,M,WHITE,987655,212901,40.75104818,-73.98771207
173123523,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,79,0,65+,F,WHITE,1000245,187997,40.68267887,-73.94233121
173124311,12/31/2017,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1200506,F,B,43,0,45-64,M,WHITE HISPANIC,1018624,241853,40.83044741,-73.87579016
173128425,12/31/2017,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,B,48,0,18-24,M,WHITE HISPANIC,1016402,247804,40.84678953,-73.88379088
173127014,12/31/2017,259,"MISCHIEF,CRIMINAL     UNCLASSIFIED 4TH DEG",351,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450001,M,Q,104,0,25-44,M,WHITE,1017324,198914,40.71259613,-73.88069905
173127011,12/31/2017,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,101,0,25-44,M,WHITE HISPANIC,1044074,156299,40.59548718,-73.78458649
